epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.8514,3.3227,4.99142,3.63661,3.92515,0.00508,0.6015,0.00679,0.00206,0.00224,0.26566,0.00142,0.00038,2.37309,5.18724,3.61257,3.86712,0.000662857,0.000662857,0.000662857
2,177.863,3.02283,4.37614,3.01002,3.14424,0.16483,0.29825,0.1146,0.03461,0.09148,0.18546,0.04652,0.00911,2.67174,4.00135,4.45794,2.58361,0.00132294,0.00132294,0.00132294
3,257.015,2.73964,3.15972,2.39834,2.69132,0.49395,0.57,0.51718,0.19305,0.46411,0.4276,0.42018,0.14445,1.96726,2.81691,2.69187,2.19999,0.00197643,0.00197643,0.00197643
4,340.523,2.22773,2.59349,1.88435,2.25853,0.83476,0.85965,0.92003,0.43433,0.83114,0.85464,0.90717,0.44389,1.57432,2.05207,2.08586,1.78856,0.0019703,0.0019703,0.0019703
5,535.42,1.91052,2.24223,1.56178,1.923,0.74331,0.85637,0.8631,0.47344,0.747,0.84712,0.86464,0.46436,1.51059,1.86394,1.27476,1.71755,0.0019604,0.0019604,0.0019604
6,642.65,1.75854,2.10981,1.35782,1.7522,0.9054,0.87719,0.96045,0.4981,0.91351,0.87218,0.94602,0.51653,1.54523,1.65338,1.14788,1.70004,0.0019505,0.0019505,0.0019505
7,723.239,1.57926,1.8894,1.1896,1.59703,0.96368,0.93111,0.98497,0.61624,0.96368,0.93111,0.9842,0.65024,1.26213,1.40085,0.94562,1.51734,0.0019406,0.0019406,0.0019406
8,804.042,1.51926,1.83668,1.13415,1.53292,0.93326,0.96992,0.98356,0.69133,0.93583,0.96992,0.98171,0.61181,1.10171,1.45599,0.83867,1.3724,0.0019307,0.0019307,0.0019307
9,884.165,1.42051,1.73329,1.01508,1.46666,0.96652,0.9599,0.98717,0.69051,0.96652,0.9599,0.98717,0.66884,1.09625,1.3095,0.81072,1.37248,0.0019208,0.0019208,0.0019208
10,964.164,1.39088,1.64547,0.97925,1.42345,0.98262,0.97744,0.99327,0.71152,0.97735,0.97322,0.99077,0.6942,1.03311,1.2116,0.75983,1.30645,0.0019109,0.0019109,0.0019109
11,1042.92,1.34072,1.59442,0.94235,1.39198,0.95999,0.97744,0.99286,0.71918,0.96373,0.97494,0.99198,0.69983,1.05215,1.18736,0.741,1.32281,0.001901,0.001901,0.001901
12,1121.47,1.2866,1.55069,0.8857,1.3401,0.9537,0.97744,0.98744,0.7059,0.9537,0.97744,0.98744,0.69867,1.07966,1.22697,0.7174,1.34925,0.0018911,0.0018911,0.0018911
13,1202.45,1.23976,1.47635,0.86242,1.31576,0.99715,0.99248,0.995,0.75163,0.99715,0.99248,0.995,0.73912,0.93805,1.08139,0.67787,1.23759,0.0018812,0.0018812,0.0018812
14,1281.19,1.22391,1.48165,0.82853,1.2861,0.991,0.98997,0.99472,0.7394,0.98971,0.98747,0.99429,0.74577,0.95034,1.06862,0.65391,1.2424,0.0018713,0.0018713,0.0018713
15,1366.98,1.18322,1.4791,0.79338,1.26801,0.98884,0.98496,0.99455,0.74619,0.98884,0.98496,0.99448,0.7084,0.94814,1.18756,0.67904,1.2303,0.0018614,0.0018614,0.0018614
16,1450.73,1.21054,1.43904,0.78676,1.2615,0.98745,0.98562,0.99441,0.76577,0.98745,0.98562,0.99441,0.74851,0.89488,1.03473,0.6359,1.20332,0.0018515,0.0018515,0.0018515
17,1530.09,1.1504,1.35336,0.76111,1.22559,0.9913,0.98997,0.99477,0.79051,0.98879,0.98747,0.99434,0.75543,0.83128,1.02403,0.57865,1.16087,0.0018416,0.0018416,0.0018416
18,1612.52,1.11789,1.32483,0.73598,1.21532,0.98785,0.98496,0.99398,0.79784,0.98785,0.98496,0.99398,0.77071,0.84358,0.96847,0.60182,1.18077,0.0018317,0.0018317,0.0018317
19,1691.45,1.09366,1.29416,0.72346,1.19779,0.9926,0.98997,0.99487,0.77233,0.99009,0.98747,0.9948,0.75802,0.86854,1.02583,0.58188,1.17366,0.0018218,0.0018218,0.0018218
20,1774.34,1.10528,1.32544,0.71369,1.19655,0.99768,0.99749,0.995,0.77655,0.9961,0.99499,0.995,0.78337,0.81221,0.9654,0.55291,1.1436,0.0018119,0.0018119,0.0018119
21,1853.77,1.06816,1.30122,0.68702,1.17752,0.99247,0.9915,0.99439,0.7937,0.99247,0.9915,0.99439,0.78906,0.80204,0.88331,0.54551,1.13606,0.001802,0.001802,0.001802
22,1933.17,1.02618,1.25669,0.65618,1.15742,0.98749,0.98925,0.99461,0.80698,0.98749,0.98925,0.99461,0.79015,0.78124,0.9005,0.54491,1.12363,0.0017921,0.0017921,0.0017921
23,2015.47,1.03829,1.26325,0.6527,1.15105,0.98748,0.99499,0.99477,0.7815,0.98495,0.99248,0.99419,0.77752,0.81818,0.90455,0.51808,1.1484,0.0017822,0.0017822,0.0017822
24,2094.76,1.00046,1.21835,0.63084,1.13971,0.99498,0.99353,0.99485,0.81595,0.99498,0.99353,0.99485,0.7774,0.74399,0.96672,0.48592,1.11123,0.0017723,0.0017723,0.0017723
25,2218.32,0.97568,1.2268,0.62111,1.12493,0.99675,0.99749,0.995,0.81878,0.99675,0.99749,0.995,0.78371,0.72648,0.91141,0.49368,1.09022,0.0017624,0.0017624,0.0017624
26,2300.1,1.00615,1.20525,0.61545,1.13588,0.98909,0.99248,0.99419,0.79179,0.98909,0.99248,0.99419,0.80554,0.79275,0.87927,0.51141,1.11966,0.0017525,0.0017525,0.0017525
27,2387.25,0.9812,1.21066,0.62189,1.12609,0.99,0.9921,0.99472,0.80152,0.99,0.9921,0.99472,0.8005,0.78493,0.8899,0.48475,1.13066,0.0017426,0.0017426,0.0017426
28,2463.3,0.96111,1.16874,0.60223,1.11897,0.9925,0.99501,0.99495,0.81167,0.9925,0.99501,0.99495,0.8051,0.75401,0.84883,0.48506,1.10613,0.0017327,0.0017327,0.0017327
29,2538.58,0.99004,1.1928,0.60595,1.11892,0.99749,0.99734,0.99497,0.83114,0.99749,0.99734,0.99497,0.79871,0.70162,0.84825,0.46901,1.07791,0.0017228,0.0017228,0.0017228
30,2620.83,0.97902,1.16182,0.60165,1.11632,0.99352,0.99749,0.99477,0.82142,0.99352,0.99749,0.99477,0.79233,0.71378,0.89709,0.45759,1.08377,0.0017129,0.0017129,0.0017129
31,2726.87,0.95812,1.17503,0.5912,1.11162,0.98696,0.99749,0.99495,0.83045,0.98696,0.99749,0.99495,0.80438,0.67791,0.81568,0.44674,1.06708,0.001703,0.001703,0.001703
