epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,121.743,0.61398,0.78435,0.36137,0.95666,0.9998,0.99749,0.995,0.90676,0.9998,0.99749,0.995,0.85179,0.50998,0.67545,0.2897,0.9456,0.000662857,0.000662857,0.000662857
2,211.893,0.62951,0.789,0.37409,0.95874,0.99691,1,0.995,0.89041,0.99691,1,0.995,0.84595,0.51172,0.69763,0.30155,0.9438,0.00131636,0.00131636,0.00131636
3,293.961,0.63895,0.81398,0.38654,0.96489,0.995,0.99739,0.99497,0.90759,0.995,0.99739,0.99497,0.87155,0.49276,0.66326,0.30151,0.9383,0.00195667,0.00195667,0.00195667
4,373.127,0.66562,0.79406,0.39667,0.96302,1,0.99995,0.995,0.89653,1,0.99995,0.995,0.86345,0.5129,0.65528,0.30295,0.94465,0.0019406,0.0019406,0.0019406
5,452.565,0.66617,0.81389,0.39341,0.96667,0.99705,0.99749,0.995,0.90501,0.99705,0.99749,0.995,0.86594,0.50771,0.65956,0.30034,0.94806,0.0019208,0.0019208,0.0019208
6,532.078,0.65972,0.80876,0.39813,0.96792,0.99955,0.99749,0.995,0.89217,0.99955,0.99749,0.995,0.87052,0.53794,0.64892,0.30186,0.96003,0.001901,0.001901,0.001901
7,610.873,0.65507,0.81488,0.39176,0.96635,0.99973,0.99749,0.995,0.89112,0.99973,0.99749,0.995,0.86404,0.54573,0.66205,0.31485,0.9633,0.0018812,0.0018812,0.0018812
8,693.747,0.67775,0.82078,0.40394,0.96997,0.99968,0.99749,0.995,0.89994,0.99968,0.99749,0.995,0.87266,0.50447,0.6354,0.30008,0.93454,0.0018614,0.0018614,0.0018614
9,773.7,0.66812,0.82449,0.39698,0.97133,1,0.99724,0.995,0.89304,1,0.99724,0.995,0.85313,0.50469,0.65585,0.30406,0.94201,0.0018416,0.0018416,0.0018416
10,854.288,0.65243,0.79446,0.39008,0.96322,0.9998,0.99749,0.995,0.88406,0.9998,0.99749,0.995,0.85922,0.52326,0.65318,0.32194,0.94994,0.0018218,0.0018218,0.0018218
11,933.683,0.65877,0.80512,0.39614,0.97449,0.99724,0.99749,0.995,0.8838,0.99724,0.99749,0.995,0.84434,0.5308,0.65928,0.31235,0.95176,0.001802,0.001802,0.001802
