epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.1359,0.57261,0.73815,0.33598,0.94075,0.99976,1,0.995,0.91737,0.99976,1,0.995,0.8704,0.46212,0.61825,0.25509,0.91544,0.000662857,0.000662857,0.000662857
2,161.799,0.58575,0.7407,0.3452,0.94184,0.99933,0.99499,0.995,0.90795,0.99933,0.99499,0.995,0.86516,0.47558,0.63312,0.2767,0.92161,0.00132288,0.00132288,0.00132288
3,240.698,0.60594,0.75801,0.35916,0.95057,0.99936,0.99749,0.995,0.92323,0.99936,0.99749,0.995,0.87267,0.45894,0.63538,0.26146,0.91727,0.00197625,0.00197625,0.00197625
4,322.274,0.61277,0.73941,0.36335,0.94409,0.99977,1,0.995,0.91426,0.99977,1,0.995,0.87046,0.48251,0.64226,0.27387,0.92946,0.00197003,0.00197003,0.00197003
5,400.572,0.61802,0.75938,0.36455,0.94779,0.99983,0.99749,0.995,0.91617,0.99983,0.99749,0.995,0.87068,0.47749,0.63133,0.2737,0.93241,0.00196004,0.00196004,0.00196004
6,479.015,0.60787,0.76238,0.36577,0.94959,0.99981,0.99749,0.995,0.88643,0.99981,0.99749,0.995,0.87648,0.50799,0.61515,0.28681,0.94288,0.00195005,0.00195005,0.00195005
7,557.56,0.6052,0.75808,0.36186,0.94812,0.99967,0.99749,0.995,0.88688,0.99967,0.99749,0.995,0.85558,0.55475,0.66765,0.30143,0.96114,0.00194006,0.00194006,0.00194006
8,637.06,0.63632,0.78204,0.37659,0.95403,0.99982,0.99749,0.995,0.90241,0.99982,0.99749,0.995,0.8785,0.50323,0.63866,0.28061,0.9335,0.00193007,0.00193007,0.00193007
9,714.943,0.62137,0.77284,0.36976,0.95286,0.99959,0.99499,0.995,0.89738,0.99959,0.99499,0.995,0.84348,0.49733,0.67588,0.29337,0.93183,0.00192008,0.00192008,0.00192008
10,793.72,0.61448,0.7516,0.36656,0.94962,0.9975,0.9998,0.995,0.89971,0.9975,0.9998,0.995,0.86763,0.5094,0.65149,0.29299,0.94062,0.00191009,0.00191009,0.00191009
11,885.005,0.61758,0.76025,0.37212,0.95735,0.9992,1,0.995,0.90685,0.9992,1,0.995,0.85574,0.47584,0.62991,0.27762,0.92455,0.0019001,0.0019001,0.0019001
12,974.6,0.61471,0.76489,0.36124,0.94935,0.99749,0.99749,0.995,0.91443,0.99749,0.99749,0.995,0.88132,0.48873,0.633,0.27977,0.93549,0.00189011,0.00189011,0.00189011
