epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.61045,5.03375,5.74332,3.79079,4.23442,0,0,0,0,0,0,0,0,5.2471,5.18973,3.73783,4.15902,4e-05,4e-05,4e-05
2,6.55974,5.42378,5.57995,3.81997,4.21063,0,0,0,0,0,0,0,0,5.24646,5.19107,3.73944,4.1587,9.9505e-05,9.9505e-05,9.9505e-05
3,8.49476,5.33744,5.76168,3.80367,4.21921,0,0,0,0,0,0,0,0,5.2455,5.19194,3.74033,4.1581,0.000158416,0.000158416,0.000158416
4,10.3096,5.13145,5.51105,3.79582,4.18745,0,0,0,0,0,0,0,0,5.24305,5.19347,3.7417,4.15653,0.000216733,0.000216733,0.000216733
5,12.0564,5.09301,5.37397,3.79227,4.19436,0,0,0,0,0,0,0,0,5.24099,5.19419,3.74201,4.15515,0.000274456,0.000274456,0.000274456
6,13.9724,5.40127,5.69724,3.78414,4.18139,0,0,0,0,0,0,0,0,5.23475,5.19534,3.74164,4.15088,0.000331585,0.000331585,0.000331585
7,15.7146,4.75861,5.39675,3.74991,4.15699,0,0,0,0,0,0,0,0,5.23013,5.1958,3.74072,4.14767,0.00038812,0.00038812,0.00038812
8,17.64,5.36089,5.21442,3.75612,4.11926,0,0,0,0,0,0,0,0,5.22419,5.19615,3.73924,4.14342,0.000444061,0.000444061,0.000444061
9,19.4327,5.46047,5.27565,3.74746,4.11058,0,0,0,0,0,0,0,0,5.21477,5.19666,3.73689,4.13636,0.000499408,0.000499408,0.000499408
10,21.21,5.21121,5.12348,3.71968,4.08485,0,0,0,0,0,0,0,0,5.20197,5.19689,3.73317,4.12689,0.000554161,0.000554161,0.000554161
11,23.051,4.99219,5.3636,3.7134,4.10208,0,0,0,0,0,0,0,0,5.18445,5.19681,3.72773,4.11436,0.00060832,0.00060832,0.00060832
12,24.8346,5.19106,5.14526,3.71148,4.07284,0,0,0,0,0,0,0,0,5.1621,5.19629,3.72062,4.09885,0.000661885,0.000661885,0.000661885
13,27.1199,5.11782,5.04808,3.67525,4.02853,0,0,0,0,0,0,0,0,5.12799,5.19532,3.71043,4.07587,0.000714856,0.000714856,0.000714856
14,29.5315,5.08528,5.06322,3.67166,4.03791,0,0,0,0,0,0,0,0,5.08121,5.19368,3.69723,4.04712,0.000767233,0.000767233,0.000767233
